Entry	Entry name	Protein names	yourlist:M20180509F725F458AC8690F874DD868E4ED79B88FE4F7BJ
Q0D2K2	KLH30_HUMAN	Kelch-like protein 30	NM_198582
Q6IQ16	SPOPL_HUMAN	Speckle-type POZ protein-like (HIB homolog 2) (Roadkill homolog 2)	NM_001001664
Q92802	N42L2_HUMAN	NEDD4-binding protein 2-like 2 (Phosphonoformate immuno-associated protein 5)	NM_014887
Q8WVE0	EFMT1_HUMAN	EEF1A lysine methyltransferase 1 (EC 2.1.1.-) (N(6)-adenine-specific DNA methyltransferase 2) (Protein-lysine N-methyltransferase N6AMT2)	NM_174928
P51587	BRCA2_HUMAN	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	NM_000059
O60870	KIN17_HUMAN	DNA/RNA-binding protein KIN17 (Binding to curved DNA) (KIN, antigenic determinant of recA protein homolog)	NM_012311
Q8IYA7	MKX_HUMAN	Homeobox protein Mohawk	NM_173576
P49961	ENTP1_HUMAN	Ectonucleoside triphosphate diphosphohydrolase 1 (NTPDase 1) (EC 3.6.1.5) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (CD antigen CD39)	NM_001776
Q99633	PRP18_HUMAN	Pre-mRNA-splicing factor 18 (PRP18 homolog) (hPRP18)	NM_003675
Q15018	ABRX2_HUMAN	BRISC complex subunit Abraxas 2 (Abraxas brother protein 1) (Protein FAM175B)	NM_032182
Q9H1Q7	PED1A_HUMAN	PC-esterase domain-containing protein 1A (Protein FAM113A) (Sarcoma antigen NY-SAR-23)	NM_022760
O43286	B4GT5_HUMAN	Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)	NM_004776
O43312	MTSS1_HUMAN	Metastasis suppressor protein 1 (Metastasis suppressor YGL-1) (Missing in metastasis protein)	NM_014751
Q9HDC5	JPH1_HUMAN	Junctophilin-1 (JP-1) (Junctophilin type 1)	NM_020647
Q6YI46	TMM64_HUMAN	Transmembrane protein 64	NM_001008495
Q4G163	FBX43_HUMAN	F-box only protein 43 (Endogenous meiotic inhibitor 2)	NM_001029860
Q96GY0	ZC21A_HUMAN	Zinc finger C2HC domain-containing protein 1A	NM_016010
Q5TKA1	LIN9_HUMAN	Protein lin-9 homolog (HuLin-9) (hLin-9) (Beta subunit-associated regulator of apoptosis) (TUDOR gene similar protein) (Type I interferon receptor beta chain-associated protein) (pRB-associated protein)	NM_173083
Q5UAW9	GP157_HUMAN	G-protein coupled receptor 157	NM_024980
P20800	EDN2_HUMAN	Endothelin-2 (ET-2) (Preproendothelin-2) (PPET2)	NM_001956
Q86YB7	ECHD2_HUMAN	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial	NM_018281
O95076	ALX3_HUMAN	Homeobox protein aristaless-like 3 (Proline-rich transcription factor ALX3)	NM_006492
Q7L8J4	3BP5L_HUMAN	SH3 domain-binding protein 5-like (SH3BP-5-like)	NM_030645
Q8TCB0	IFI44_HUMAN	Interferon-induced protein 44 (p44) (Microtubule-associated protein 44)	NM_006417
Q9NUP7	TRM13_HUMAN	tRNA:m(4)X modification enzyme TRM13 homolog (EC 2.1.1.225) (Coiled-coil domain-containing protein 76)	NM_019083
O95561	CA105_HUMAN	Uncharacterized protein C1orf105	NM_139240
P24522	GA45A_HUMAN	Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1)	NM_001924
Q02386	ZNF45_HUMAN	Zinc finger protein 45 (BRC1744) (Zinc finger protein 13) (Zinc finger protein KOX5)	NM_003425
Q15935	ZNF77_HUMAN	Zinc finger protein 77 (ZNFpT1)	NM_021217
P55199	ELL_HUMAN	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)	NM_006532
Q96JL9	ZN333_HUMAN	Zinc finger protein 333	NM_032433
Q9NXT0	ZN586_HUMAN	Zinc finger protein 586	NM_017652
A6XGL0	YJEN3_HUMAN	YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3)	NM_198537
Q86T90	K1328_HUMAN	Protein hinderin	NM_020776
Q8N4Q1	MIA40_HUMAN	Mitochondrial intermembrane space import and assembly protein 40 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 4)	NM_144636
P30559	OXYR_HUMAN	Oxytocin receptor (OT-R)	NM_000916
Q14135	VGLL4_HUMAN	Transcription cofactor vestigial-like protein 4 (Vgl-4)	NM_014667
P52756	RBM5_HUMAN	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	NM_005778
Q9UHA2	S18L2_HUMAN	SS18-like protein 2 (SYT homolog 2)	NM_016305
Q9UFB7	ZBT47_HUMAN	Zinc finger and BTB domain-containing protein 47 (Zinc finger protein 651)	NM_145166
Q6ZN30	BNC2_HUMAN	Zinc finger protein basonuclin-2	NM_017637
Q5HYC2	K2026_HUMAN	Uncharacterized protein KIAA2026	NM_001017969
O15432	COPT2_HUMAN	Probable low affinity copper uptake protein 2 (Copper transporter 2) (hCTR2) (Solute carrier family 31 member 2)	NM_001860
Q8N6M6	AMPO_HUMAN	Aminopeptidase O (AP-O) (EC 3.4.11.-)	NM_032823
Q5VUD6	FA69B_HUMAN	Protein FAM69B	NM_152421
Q96MD7	CI085_HUMAN	Uncharacterized protein C9orf85	NM_182505
O95619	YETS4_HUMAN	YEATS domain-containing protein 4 (Glioma-amplified sequence 41) (Gas41) (NuMA-binding protein 1) (NuBI-1) (NuBI1)	NM_006530
P31276	HXC13_HUMAN	Homeobox protein Hox-C13 (Homeobox protein Hox-3G)	NM_017410
Q7Z6B0	CCD91_HUMAN	Coiled-coil domain-containing protein 91 (GGA-binding partner) (p56 accessory protein)	NM_018318
Q9NVK5	FGOP2_HUMAN	FGFR1 oncogene partner 2	NM_015633
Q86YJ5	MARH9_HUMAN	E3 ubiquitin-protein ligase MARCH9 (EC 2.3.2.27) (Membrane-associated RING finger protein 9) (Membrane-associated RING-CH protein IX) (MARCH-IX) (RING finger protein 179) (RING-type E3 ubiquitin transferase MARCH9)	NM_138396
Q8WUA7	TB22A_HUMAN	TBC1 domain family member 22A	NM_014346
O60673	REV3L_HUMAN	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (hREV3)	NM_002912
P19484	TFEB_HUMAN	Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35)	NM_007162
Q92833	JARD2_HUMAN	Protein Jumonji (Jumonji/ARID domain-containing protein 2)	NM_004973
Q8WV93	AFG1L_HUMAN	AFG1-like ATPase (Lactation elevated protein 1) (EC 3.6.-.-) (Protein AFG1 homolog)	NM_145315
P15822	ZEP1_HUMAN	Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1)	NM_002114
O00425	IF2B3_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	NM_006547
Q9Y239	NOD1_HUMAN	Nucleotide-binding oligomerization domain-containing protein 1 (Caspase recruitment domain-containing protein 4)	NM_006092
Q86VZ6	JAZF1_HUMAN	Juxtaposed with another zinc finger protein 1 (TAK1-interacting protein 27) (Zinc finger protein 802)	NM_175061
Q96LL9	DJC30_HUMAN	DnaJ homolog subfamily C member 30 (Williams-Beuren syndrome chromosomal region 18 protein)	NM_032317
Q9BRZ2	TRI56_HUMAN	E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING finger protein 109) (RING-type E3 ubiquitin transferase TRIM56) (Tripartite motif-containing protein 56)	NM_030961
Q76N89	HECW1_HUMAN	E3 ubiquitin-protein ligase HECW1 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECW1) (NEDD4-like E3 ubiquitin-protein ligase 1) (hNEDL1)	NM_015052
P80192	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	NM_033141
Q6ZNE5	BAKOR_HUMAN	Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)	NM_014924
Q9NS73	MBIP1_HUMAN	MAP3K12-binding inhibitory protein 1 (MAPK upstream kinase-binding inhibitory protein) (MUK-binding inhibitory protein)	NM_016586
Q05BV3	EMAL5_HUMAN	Echinoderm microtubule-associated protein-like 5 (EMAP-5)	NM_183387
Q9HAT8	PELI2_HUMAN	E3 ubiquitin-protein ligase pellino homolog 2 (Pellino-2) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 2)	NM_021255
Q15722	LT4R1_HUMAN	Leukotriene B4 receptor 1 (LTB4-R 1) (LTB4-R1) (Chemoattractant receptor-like 1) (G-protein coupled receptor 16) (P2Y purinoceptor 7) (P2Y7)	NM_181657
Q9UEE9	CFDP1_HUMAN	Craniofacial development protein 1 (Bucentaur)	NM_006324
Q5XUX0	FBX31_HUMAN	F-box only protein 31	NM_024735
Q9Y221	NIP7_HUMAN	60S ribosome subunit biogenesis protein NIP7 homolog (KD93)	NM_016101
Q8IX07	FOG1_HUMAN	Zinc finger protein ZFPM1 (Friend of GATA protein 1) (FOG-1) (Friend of GATA 1) (Zinc finger protein 89A) (Zinc finger protein multitype 1)	NM_153813
Q9BRX5	PSF3_HUMAN	DNA replication complex GINS protein PSF3 (GINS complex subunit 3)	NM_022770
O60268	K0513_HUMAN	Uncharacterized protein KIAA0513	NM_014732
Q8ND82	Z280C_HUMAN	Zinc finger protein 280C (Suppressor of hairy wing homolog 3) (Zinc finger protein 633)	NM_017666
P98170	XIAP_HUMAN	E3 ubiquitin-protein ligase XIAP (EC 2.3.2.27) (Baculoviral IAP repeat-containing protein 4) (IAP-like protein) (ILP) (hILP) (Inhibitor of apoptosis protein 3) (IAP-3) (hIAP-3) (hIAP3) (RING-type E3 ubiquitin transferase XIAP) (X-linked inhibitor of apoptosis protein) (X-linked IAP)	NM_001167
Q99583	MNT_HUMAN	Max-binding protein MNT (Class D basic helix-loop-helix protein 3) (bHLHd3) (Myc antagonist MNT) (Protein ROX)	NM_020310
Q96ET8	TV23C_HUMAN	Golgi apparatus membrane protein TVP23 homolog C	NM_145301
Q9UHR5	S30BP_HUMAN	SAP30-binding protein (Transcriptional regulator protein HCNGP)	NM_013260
Q14207	NPAT_HUMAN	Protein NPAT (Nuclear protein of the ataxia telangiectasia mutated locus) (Nuclear protein of the ATM locus) (p220)	NM_002519
Q6VVX0	CP2R1_HUMAN	Vitamin D 25-hydroxylase (EC 1.14.14.24) (Cytochrome P450 2R1)	NM_024514
O96014	WNT11_HUMAN	Protein Wnt-11	NM_004626
Q9H161	ALX4_HUMAN	Homeobox protein aristaless-like 4	NM_021926
Q6P9B9	INT5_HUMAN	Integrator complex subunit 5 (Int5)	NM_030628
Q86UB9	TM135_HUMAN	Transmembrane protein 135 (Peroxisomal membrane protein 52) (PMP52)	NM_022918
Q9H7C9	AAMDC_HUMAN	Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein)	NM_024684
P84022	SMAD3_HUMAN	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)	NM_005902
Q8N3J5	PPM1K_HUMAN	Protein phosphatase 1K, mitochondrial (EC 3.1.3.16) (PP2C domain-containing protein phosphatase 1K) (PP2C-like mitochondrial protein) (PP2C-type mitochondrial phosphoprotein phosphatase) (PTMP) (Protein phosphatase 2C isoform kappa) (PP2C-kappa)	NM_152542
Q8TDG4	HELQ_HUMAN	Helicase POLQ-like (EC 3.6.4.12) (Mus308-like helicase) (POLQ-like helicase)	NM_133636
Q8N5T2	TBC19_HUMAN	TBC1 domain family member 19	NM_018317
Q9BWT6	MND1_HUMAN	Meiotic nuclear division protein 1 homolog	NM_032117
Q13563	PKD2_HUMAN	Polycystin-2 (PC2) (Autosomal dominant polycystic kidney disease type II protein) (Polycystic kidney disease 2 protein) (Polycystwin) (R48321) (Transient receptor potential cation channel subfamily P member 2)	NM_000297
Q6MZW2	FSTL4_HUMAN	Follistatin-related protein 4 (Follistatin-like protein 4)	NM_015082
Q68D91	MBLC2_HUMAN	Metallo-beta-lactamase domain-containing protein 2 (EC 3.-.-.-)	NM_203406
Q9BVS4	RIOK2_HUMAN	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2)	NM_018343
Q9NXU5	ARL15_HUMAN	ADP-ribosylation factor-like protein 15 (ADP-ribosylation factor-related protein 2) (ARF-related protein 2)	NM_019087
Q8N3V7	SYNPO_HUMAN	Synaptopodin	NM_007286
Q9H0Y0	ATG10_HUMAN	Ubiquitin-like-conjugating enzyme ATG10 (EC 2.3.2.-) (Autophagy-related protein 10) (APG10-like)	NM_031482
Q99728	BARD1_HUMAN	BRCA1-associated RING domain protein 1 (BARD-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BARD1)	NM_000465
Q9NW38	FANCL_HUMAN	E3 ubiquitin-protein ligase FANCL (EC 2.3.2.27) (Fanconi anemia group L protein) (Fanconi anemia-associated polypeptide of 43 kDa) (FAAP43) (RING-type E3 ubiquitin transferase FANCL)	NM_018062
Q8IYA6	CKP2L_HUMAN	Cytoskeleton-associated protein 2-like (Radial fiber and mitotic spindle protein) (Radmis)	NM_152515
Q96BH1	RNF25_HUMAN	E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25) (RING-type E3 ubiquitin transferase RNF25)	NM_022453
Q6ZUX3	TGRM2_HUMAN	TOG array regulator of axonemal microtubules protein 2 (Crescerin-2)	NM_199280
Q9NRM7	LATS2_HUMAN	Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase)	NM_014572
Q9UHK0	NUFP1_HUMAN	Nuclear fragile X mental retardation-interacting protein 1 (Nuclear FMRP-interacting protein 1)	NM_012345
Q9Y4H2	IRS2_HUMAN	Insulin receptor substrate 2 (IRS-2)	NM_003749
Q8IZP7	H6ST3_HUMAN	Heparan-sulfate 6-O-sulfotransferase 3 (HS6ST-3) (EC 2.8.2.-)	NM_153456
Q86V42	F124A_HUMAN	Protein FAM124A	NM_145019
O94991	SLIK5_HUMAN	SLIT and NTRK-like protein 5 (Leucine-rich repeat-containing protein 11)	NM_015567
Q8NFP9	NBEA_HUMAN	Neurobeachin (Lysosomal-trafficking regulator 2) (Protein BCL8B)	NM_015678
Q9H7T3	CJ095_HUMAN	Uncharacterized protein C10orf95	NM_024886
Q9P2Q2	FRM4A_HUMAN	FERM domain-containing protein 4A	NM_018027
Q7Z4V0	ZN438_HUMAN	Zinc finger protein 438	NM_182755
P36894	BMR1A_HUMAN	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	NM_004329
P37275	ZEB1_HUMAN	Zinc finger E-box-binding homeobox 1 (NIL-2-A zinc finger protein) (Negative regulator of IL2) (Transcription factor 8) (TCF-8)	NM_030751
Q9H008	LHPP_HUMAN	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (hLHPP) (EC 3.1.3.-) (EC 3.6.1.1)	NM_022126
Q96BZ9	TBC20_HUMAN	TBC1 domain family member 20	NM_144628
Q9H3Z7	ABHGB_HUMAN	Protein ABHD16B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 16B) (Abhydrolase domain-containing protein 16B)	NM_080622
P53677	AP3M2_HUMAN	AP-3 complex subunit mu-2 (Adaptor-related protein complex 3 subunit mu-2) (Clathrin assembly protein assembly protein complex 3 mu-2 medium chain) (Clathrin coat assembly protein AP47 homolog 2) (Clathrin coat-associated protein AP47 homolog 2) (Golgi adaptor AP-1 47 kDa protein homolog 2) (HA1 47 kDa subunit homolog 2) (Mu3B-adaptin) (P47B)	NM_006803
Q9NR00	TCIM_HUMAN	Transcriptional and immune response regulator (Thyroid cancer protein 1) (TC-1)	NM_020130
Q3MIX3	ADCK5_HUMAN	Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-)	NM_174922
Q86WK9	PAQR7_HUMAN	Membrane progestin receptor alpha (mPR alpha) (Membrane progesterone P4 receptor alpha) (Membrane progesterone receptor alpha) (Progesterone and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member VII)	NM_178422
Q13352	CENPR_HUMAN	Centromere protein R (CENP-R) (Beta-3-endonexin) (Integrin beta-3-binding protein) (Nuclear receptor-interacting factor 3)	NM_014288
Q00403	TF2B_HUMAN	Transcription initiation factor IIB (General transcription factor TFIIB) (S300-II)	NM_001514
Q13105	ZBT17_HUMAN	Zinc finger and BTB domain-containing protein 17 (Myc-interacting zinc finger protein 1) (Miz-1) (Zinc finger protein 151) (Zinc finger protein 60)	NM_003443
P56705	WNT4_HUMAN	Protein Wnt-4	NM_030761
Q12857	NFIA_HUMAN	Nuclear factor 1 A-type (NF1-A) (Nuclear factor 1/A) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/A) (NF-I/A) (NFI-A) (TGGCA-binding protein)	NM_005595
Q8IY50	S35F3_HUMAN	Putative thiamine transporter SLC35F3 (Solute carrier family 35 member F3)	NM_173508
Q5TCX8	M3K21_HUMAN	Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)	NM_032435
Q8TDW0	LRC8C_HUMAN	Volume-regulated anion channel subunit LRRC8C (Factor for adipocyte differentiation 158) (Leucine-rich repeat-containing protein 8C)	NM_032270
Q8TD23	ZN675_HUMAN	Zinc finger protein 675 (TRAF6-binding zinc finger protein) (TRAF6-inhibitory zinc finger protein)	NM_138330
P17035	ZNF28_HUMAN	Zinc finger protein 28 (Zinc finger protein KOX24)	NM_006969
Q99742	NPAS1_HUMAN	Neuronal PAS domain-containing protein 1 (Neuronal PAS1) (Basic-helix-loop-helix-PAS protein MOP5) (Class E basic helix-loop-helix protein 11) (bHLHe11) (Member of PAS protein 5) (PAS domain-containing protein 5)	NM_002517
Q9UMF0	ICAM5_HUMAN	Intercellular adhesion molecule 5 (ICAM-5) (Telencephalin)	NM_003259
Q15831	STK11_HUMAN	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)	NM_000455
O43310	CTIF_HUMAN	CBP80/20-dependent translation initiation factor	NM_014772
O95104	SFR15_HUMAN	Splicing factor, arginine/serine-rich 15 (CTD-binding SR-like protein RA4) (SR-related and CTD-associated factor 4)	NM_020706
Q8WU66	TSEAR_HUMAN	Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR)	NM_144991
Q9NYK6	EURL_HUMAN	Protein EURL homolog	NM_017447
Q9NSI2	F207A_HUMAN	Protein FAM207A	NM_058190
Q16829	DUS7_HUMAN	Dual specificity protein phosphatase 7 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST2)	NM_001947
Q12893	TM115_HUMAN	Transmembrane protein 115 (Placental protein 6) (Protein PL6)	NM_007024
O75417	DPOLQ_HUMAN	DNA polymerase theta (EC 2.7.7.7) (DNA polymerase eta)	NM_199420
Q7Z7K0	COXM1_HUMAN	COX assembly mitochondrial protein homolog (Cmc1p)	NM_182523
Q96CQ1	S2536_HUMAN	Solute carrier family 25 member 36	NM_018155
Q53H47	SETMR_HUMAN	Histone-lysine N-methyltransferase SETMAR (SET domain and mariner transposase fusion protein) (Metnase) [Includes: Histone-lysine N-methyltransferase (EC 2.1.1.43); Transposon Hsmar1 transposase (EC 3.1.-.-)]	NM_006515
Q6TFL4	KLH24_HUMAN	Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1)	NM_017644
Q9H553	ALG2_HUMAN	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	NM_033087
P37058	DHB3_HUMAN	Testosterone 17-beta-dehydrogenase 3 (EC 1.1.1.64) (17-beta-hydroxysteroid dehydrogenase type 3) (17-beta-HSD 3) (Short chain dehydrogenase/reductase family 12C member 2) (Testicular 17-beta-hydroxysteroid dehydrogenase)	NM_000197
Q7Z6K4	NRARP_HUMAN	Notch-regulated ankyrin repeat-containing protein	NM_001004354
Q01974	ROR2_HUMAN	Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)	NM_004560
O95477	ABCA1_HUMAN	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	NM_005502
Q9UKN8	TF3C4_HUMAN	General transcription factor 3C polypeptide 4 (EC 2.3.1.48) (TF3C-delta) (Transcription factor IIIC 90 kDa subunit) (TFIIIC 90 kDa subunit) (TFIIIC90) (Transcription factor IIIC subunit delta)	NM_012204
Q00537	CDK17_HUMAN	Cyclin-dependent kinase 17 (EC 2.7.11.22) (Cell division protein kinase 17) (PCTAIRE-motif protein kinase 2) (Serine/threonine-protein kinase PCTAIRE-2)	NM_002595
Q9H765	ASB8_HUMAN	Ankyrin repeat and SOCS box protein 8 (ASB-8)	NM_024095
Q8IYM0	F186B_HUMAN	Protein FAM186B	NM_032130
O15130	NPFF_HUMAN	Pro-FMRFamide-related neuropeptide FF (FMRFamide-related peptides) [Cleaved into: Neuropeptide SF (NPSF); Neuropeptide FF (NPFF); Neuropeptide AF (NPAF)]	NM_003717
Q96C57	CL043_HUMAN	Uncharacterized protein C12orf43	NM_022895
Q7Z6B7	SRGP1_HUMAN	SLIT-ROBO Rho GTPase-activating protein 1 (srGAP1) (Rho GTPase-activating protein 13)	NM_020762
Q9NPF2	CHSTB_HUMAN	Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1)	NM_018413
Q9BR77	CCD77_HUMAN	Coiled-coil domain-containing protein 77	NM_032358
Q9NVN3	RIC8B_HUMAN	Synembryn-B (Brain synembryn) (hSyn) (Protein Ric-8B)	NM_018157
P18846	ATF1_HUMAN	Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36)	NM_005171
O43819	SCO2_HUMAN	Protein SCO2 homolog, mitochondrial	NM_005138
Q8IZJ4	RGDSR_HUMAN	Ral-GDS-related protein (hRGR) (Ral guanine nucleotide dissociation stimulator-like 4) (RalGDS-like 4)	NM_153615
Q9Y233	PDE10_HUMAN	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17) (EC 3.1.4.35)	NM_006661
P20671	H2A1D_HUMAN	Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g)	NM_021065
Q6EEV6	SUMO4_HUMAN	Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4)	NM_001002255
Q9UKL3	C8AP2_HUMAN	CASP8-associated protein 2 (FLICE-associated huge protein)	NM_012115
P15056	BRAF_HUMAN	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	NM_004333
Q6IQ20	NAPEP_HUMAN	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (N-acyl phosphatidylethanolamine phospholipase D) (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54)	NM_198990
Q9BQT8	ODC_HUMAN	Mitochondrial 2-oxodicarboxylate carrier (Solute carrier family 25 member 21)	NM_030631
Q9Y6S9	RPKL1_HUMAN	Ribosomal protein S6 kinase-like 1 (EC 2.7.11.1)	NM_031464
Q9P0R6	GSKIP_HUMAN	GSK3B-interacting protein (GSKIP) (GSK3beta interaction protein)	NM_016472
Q00978	IRF9_HUMAN	Interferon regulatory factor 9 (IRF-9) (IFN-alpha-responsive transcription factor subunit) (ISGF3 p48 subunit) (Interferon-stimulated gene factor 3 gamma) (ISGF-3 gamma) (Transcriptional regulator ISGF3 subunit gamma)	NM_006084
Q9H9P5	UNKL_HUMAN	Putative E3 ubiquitin-protein ligase UNKL (EC 2.3.2.-) (RING finger protein unkempt-like) (Zinc finger CCCH domain-containing protein 5-like)	NM_001037125
Q96E14	RMI2_HUMAN	RecQ-mediated genome instability protein 2 (hRMI2) (BLM-associated protein of 18 kDa) (BLAP18)	NM_152308
Q92874	DNSL2_HUMAN	Deoxyribonuclease-1-like 2 (EC 3.1.21.-) (DNase I homolog protein DHP1) (Deoxyribonuclease I-like 2) (DNase I-like 2)	NM_001374
Q8N554	ZN276_HUMAN	Zinc finger protein 276 (Zfp-276) (Zinc finger protein 477)	NM_152287
Q12952	FOXL1_HUMAN	Forkhead box protein L1 (Forkhead-related protein FKHL11) (Forkhead-related transcription factor 7) (FREAC-7)	NM_005250
O60220	TIM8A_HUMAN	Mitochondrial import inner membrane translocase subunit Tim8 A (Deafness dystonia protein 1) (X-linked deafness dystonia protein)	NM_004085
Q9BY41	HDAC8_HUMAN	Histone deacetylase 8 (HD8) (EC 3.5.1.98)	NM_018486
O43463	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.43) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1)	NM_003173
Q9NVR0	KLH11_HUMAN	Kelch-like protein 11	NM_018143
Q969W3	F104A_HUMAN	Protein FAM104A	NM_032837
Q14119	VEZF1_HUMAN	Vascular endothelial zinc finger 1 (Putative transcription factor DB1) (Zinc finger protein 161)	NM_007146
Q9UKL6	PPCT_HUMAN	Phosphatidylcholine transfer protein (PC-TP) (START domain-containing protein 2) (StARD2) (StAR-related lipid transfer protein 2)	NM_021213
P29275	AA2BR_HUMAN	Adenosine receptor A2b	NM_000676
Q8N159	NAGS_HUMAN	N-acetylglutamate synthase, mitochondrial (EC 2.3.1.1) (Amino-acid acetyltransferase) [Cleaved into: N-acetylglutamate synthase long form; N-acetylglutamate synthase short form; N-acetylglutamate synthase conserved domain form]	NM_153006
Q15777	MPPD2_HUMAN	Metallophosphoesterase MPPED2 (EC 3.1.-.-) (Fetal brain protein 239) (239FB) (Metallophosphoesterase domain-containing protein 2)	NM_001584
